siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005750385,00055,00575038500055,O,1998-03-05,NN,2022,2024-04-25T09:36:50,false,2,,,PL,DE L'EGLISE,04700,ORAISON,04143,,,,2022-06-30,A,ENTREPRISE COMBA,43.99C,NAFRev2,N
005872908,00040,00587290800040,O,2003-09-15,,,2024-03-30T16:25:14,true,3,,41,AVENUE,LOUIS LAJARRIGE,44500,LA BAULE-ESCOUBLAC,44055,440552180_B,294429.0160633972,6700487.728310063,2008-01-01,A,,68.20B,NAFRev2,N
006574586,00027,00657458600027,O,1987-05-17,,,2025-01-18T03:30:28,false,3,,5,RUE,CLAUDE BERNARD,44600,SAINT-NAZAIRE,44184,441841140_B,304790.3840104205,6697199.942811529,2008-01-01,A,,68.20B,NAFRev2,N
008024960,00018,00802496000018,O,2013-09-09,,,2024-03-30T17:33:10,true,3,,8,RUE,CHARLES GIDE,87000,LIMOGES,87085,870851010_B,565505.2012366918,6527200.754177045,2014-12-31,A,,81.10Z,NAFRev2,N
012347936,00010,01234793600010,O,1993-03-17,,,2024-03-22T15:40:57,true,4,,,,,14670,TROARN,14712,,,,2012-03-31,A,,81.10Z,NAFRev2,N
013245055,00010,01324505500010,O,2016-12-18,,,2024-03-30T18:41:54,true,2,,1,RUE,DE LA PREFECTURE,49100,ANGERS,49007,490076480_B,432329.6001803906,6713382.521964558,2008-01-01,A,,81.10Z,NAFRev2,N
013245816,00015,01324581600015,O,2000-09-19,,,2024-03-29T23:24:28,true,2,,1,RUE,DU PONT FOUCHARD,49400,SAUMUR,49328,493281985_B,466549.97101804195,6688068.963424014,2008-01-01,A,,81.10Z,NAFRev2,N
013642889,00011,01364288900011,O,1982-03-12,,,2024-03-30T18:25:12,true,4,,,AVENUE,DU MARECHAL LECLERC,49300,CHOLET,49099,490992856_B,407185.40158406796,6670020.9066362735,2012-10-01,A,,81.10Z,NAFRev2,O
013751003,00016,01375100300016,O,2001-02-18,,,2024-03-30T14:41:51,true,2,,16,RUE,CHANCELIER DE L'HOSPITAL,21000,DIJON,21231,212311570_B,854631.0229530174,6692975.8873515455,2008-01-01,A,,81.10Z,NAFRev2,N
013877238,00017,01387723800017,O,2015-03-26,NN,2022,2024-03-30T01:48:14,true,4,,16,RUE,ROUGET DE LISLE,39000,LONS-LE-SAUNIER,39300,393000920_B,895237.5492843263,6622159.398677338,2023-05-31,A,,81.10Z,NAFRev2,N
014347991,00011,01434799100011,O,2021-06-14,,,2024-03-30T07:47:26,true,2,54 ET 56,,RUE,JEAN JAURES,71200,LE CREUSOT,71153,711532160_B,808200.7622486794,6634963.024988926,2008-01-01,A,,81.10Z,NAFRev2,N
014420442,00015,01442044200015,O,1997-08-15,01,2022,2024-03-29T23:38:56,true,2,,2,PROMENADE,DES CHAMPS PLAISANTS,89100,SENS,89387,893871090_B,722638.6276295587,6788322.331339268,2008-01-01,A,,81.10Z,NAFRev2,O
